,2022-09-01,2023-03-01,2023-09-01
Sales,14.58,15.57,10.74
Expenses,13.38,14.15,10.07
Operating Profit,1.2,1.42,0.67
OPM %,8.23,9.12,6.24
Other Income,0.08,0.19,0.12
Interest,0.02,0.02,0.02
Depreciation,0.09,0.12,0.09
Profit before tax,1.17,1.47,0.68
Tax %,24.79,25.85,25.0
Net Profit,0.88,1.11,0.5
EPS in Rs,2.53,2.14,0.97
