,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,56.0,64.0,103.0,200.0,170.0,133
Expenses,53.0,61.0,99.0,190.0,161.0,124
Operating Profit,3.0,3.0,4.0,10.0,10.0,8
OPM %,5.0,5.0,4.0,5.0,6.0,6
Other Income,0.0,0.0,0.0,0.0,0.0,1
Interest,1.0,1.0,2.0,2.0,2.0,3
Depreciation,0.0,0.0,0.0,1.0,4.0,4
Profit before tax,1.0,2.0,2.0,7.0,4.0,2
Tax %,22.0,21.0,26.0,25.0,41.0,
Net Profit,1.0,1.0,2.0,6.0,4.0,2
EPS in Rs,24.6,12.6,7.88,8.28,4.13,1.84
