,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,1,2,8,10,10
Reserves,6,7,7,8,17,17
Borrowings,15,15,17,23,25,26
Other Liabilities,5,7,14,19,13,18
Total Liabilities,27,30,41,58,65,71
Fixed Assets,2,2,3,10,25,24
CWIP,0,0,0,0,0,0
Investments,2,2,3,3,4,4
Other Assets,22,25,35,45,35,44
Total Assets,27,30,41,58,65,71
