,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,12.09,12.09,12.09,12.09,12.09,12.09,12.1,12.1
Public,87.91,87.91,87.91,87.91,87.91,87.91,87.92,87.91
No. of Shareholders,1809.0,1807.0,1802.0,1820.0,1829.0,2093.0,2255.0,2259.0
