,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,195.0,181.0,217.0,242.0,233
Expenses,0.0,188.0,168.0,188.0,218.0,210
Operating Profit,0.0,7.0,13.0,28.0,24.0,23
OPM %,19.0,4.0,7.0,13.0,10.0,10
Other Income,0.0,-1.0,15.0,1.0,5.0,8
Interest,0.0,1.0,2.0,2.0,4.0,4
Depreciation,0.0,1.0,5.0,5.0,8.0,9
Profit before tax,0.0,4.0,21.0,22.0,17.0,18
Tax %,0.0,1.0,6.0,7.0,27.0,
Net Profit,0.0,4.0,20.0,20.0,12.0,13
EPS in Rs,0.02,0.32,1.68,1.52,0.94,0.96
