,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,1756.0,2169.0,3568.0,2504.0,2221.0,3543.0,4079.0
Expenses,1680.0,2042.0,3496.0,2444.0,2081.0,3296.0,3762.0
Operating Profit,76.0,127.0,72.0,60.0,140.0,247.0,317.0
OPM %,4.0,6.0,2.0,2.0,6.0,7.0,8.0
Other Income,10.0,13.0,11.0,13.0,29.0,26.0,22.0
Interest,47.0,31.0,48.0,50.0,37.0,33.0,52.0
Depreciation,8.0,9.0,8.0,11.0,11.0,15.0,17.0
Profit before tax,31.0,100.0,27.0,13.0,120.0,225.0,271.0
Tax %,16.0,26.0,30.0,24.0,17.0,27.0,21.0
Net Profit,26.0,74.0,19.0,10.0,100.0,164.0,213.0
EPS in Rs,162.19,46.43,11.71,6.16,62.7,18.42,23.76
