,2016-03-01,2017-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16,16,16,16,16,16,16,16
Reserves,212,285,368,330,429,525,709,805
Borrowings,272,326,116,146,90,191,220,391
Other Liabilities,374,481,771,516,566,586,668,829
Total Liabilities,875,1108,1271,1008,1101,1318,1613,2040
Fixed Assets,74,78,99,97,88,190,220,239
CWIP,2,4,5,12,22,44,73,89
Investments,0,0,1,0,7,0,0,0
Other Assets,798,1025,1166,899,984,1084,1321,1712
Total Assets,875,1108,1271,1008,1101,1318,1613,2040
