,2021-03-01,2022-03-01,2023-03-01
Sales,1128,1692,2053
Expenses,988,1499,1928
Operating Profit,140,193,124
OPM %,12,11,6
Other Income,-1,-14,-7
Interest,47,46,60
Depreciation,80,131,144
Profit before tax,11,3,-86
Tax %,529,724,-25
Net Profit,-48,-17,-108
EPS in Rs,,,
