,2021-03-01,2022-03-01,2023-03-01
Equity Capital,10.0,10,10
Reserves,,547,764
Borrowings,,990,1107
Other Liabilities,,778,531
Total Liabilities,,2325,2412
Fixed Assets,,1390,1471
CWIP,,64,78
Investments,,10,10
Other Assets,,860,853
Total Assets,,2325,2412
