,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.1,0.1,0.1,0.1,0.25,0.25,0.25,10.1,13.75,13.75
Reserves,0.7000000000000001,0.84,1.49,2.05,2.47,6.61,10.06,4.78,18.65,20.9
Borrowings,0.8200000000000001,1.06,1.26,1.1,1.17,0.23,0.71,1.62,0.0,1.8
Other Liabilities,1.07,0.8,1.55,1.69,1.36,2.96,6.5600000000000005,3.6,5.08,4.07
Total Liabilities,2.69,2.8,4.4,4.94,5.25,10.05,17.58,20.1,37.48,40.52
Fixed Assets,0.11,0.1,0.38,0.2,0.13,0.76,0.25,0.14,0.32,0.29
CWIP,0.0,0.0,0.0,0.15,1.57,0.0,0.0,0.0,0.0,0.0
Investments,0.34,0.0,0.0,0.0,0.01,1.14,3.59,1.99,14.16,15.11
Other Assets,2.24,2.7,4.02,4.59,3.54,8.15,13.74,17.97,23.0,25.12
Total Assets,2.69,2.8,4.4,4.94,5.25,10.05,17.58,20.1,37.48,40.52
