,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,72.72,72.72,72.72,72.72,72.75,72.75
Public,27.28,27.28,27.28,27.28,27.25,27.25
No. of Shareholders,563.0,596.0,587.0,603.0,500.0,462.0
