,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,5.27,6.41,6.47,8.17,6.82,8.63,8.63,9.29,9.22,9.55
Expenses,4.62,5.24,5.19,5.19,6.19,6.46,6.64,7.58,7.19,7.74
Operating Profit,0.65,1.17,1.28,2.98,0.63,2.17,1.99,1.71,2.03,1.81
OPM %,12.33,18.25,19.78,36.47,9.24,25.14,23.06,18.41,22.02,18.95
Other Income,0.12,0.12,0.17,0.15,0.14,0.17,0.22,0.42,0.15,0.42
Interest,0.04,0.04,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0
Depreciation,0.05,0.05,0.04,0.04,0.02,0.07,0.09,0.09,0.05,0.05
Profit before tax,0.68,1.2,1.37,3.06,0.72,2.27,2.12,2.04,2.13,2.18
Tax %,11.76,14.17,14.6,41.5,25.0,25.11,24.06,24.02,26.76,24.31
Net Profit,0.6,1.02,1.16,1.79,0.54,1.7,1.6,1.55,1.56,1.65
EPS in Rs,23.75,40.38,45.92,1.77,0.39,1.24,1.16,1.13,1.13,1.2
