,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7.0,8.9,11.95,14.04,14.55,22.38,25.71,26.31,33.37,36.69
Expenses,6.71,8.42,10.94,12.68,13.74,17.57,21.34,20.15,26.69,29.15
Operating Profit,0.29,0.48,1.01,1.36,0.81,4.81,4.37,6.16,6.68,7.54
OPM %,4.14,5.39,8.45,9.69,5.57,21.49,17.0,23.41,20.02,20.55
Other Income,0.04,0.01,0.04,-0.22,0.0,0.43,0.49,0.56,0.87,1.21
Interest,0.02,0.02,0.08,0.11,0.11,0.16,0.12,0.25,0.13,0.00
Depreciation,0.04,0.05,0.08,0.21,0.11,0.77,0.15,0.18,0.27,0.28
Profit before tax,0.27,0.42,0.89,0.82,0.59,4.31,4.59,6.29,7.15,8.47
Tax %,70.37,64.29,26.97,31.71,28.81,26.91,24.84,27.5,24.76,
Net Profit,0.08,0.14,0.65,0.56,0.43,3.15,3.45,4.57,5.39,6.36
EPS in Rs,7.8,13.65,63.35,54.58,17.02,124.7,136.58,4.52,3.92,4.62
