,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36,3.36
Reserves,23.62,21.57,21.39,22.56,21.77,18.88,14.9,10.15,14.35,14.17,13.76
Borrowings,7.61,6.44,8.64,9.75,12.5,12.55,16.23,17.49,13.47,0.73,0.61
Other Liabilities,7.06,7.3,3.84,10.85,8.76,8.84,7.65,10.4,6.29,6.21,4.23
Total Liabilities,41.65,38.67,37.23,46.52,46.39,43.63,42.14,41.4,37.47,24.47,21.96
Fixed Assets,8.63,7.53,7.32,7.46,9.01,9.03,7.68,7.21,6.39,4.27,3.69
CWIP,0.02,0.0,0.0,0.79,0.59,0.0,0.0,0.0,0.0,0.0,0.0
Investments,6.09,6.09,6.09,6.91,6.41,6.11,6.43,5.97,2.77,0.04,0.04
Other Assets,26.91,25.05,23.82,31.36,30.38,28.49,28.03,28.22,28.31,20.16,18.23
Total Assets,41.65,38.67,37.23,46.52,46.39,43.63,42.14,41.4,37.47,24.47,21.96
