,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.0,0.0,0.0,0,0,0.0,0.0,0.0,115.0,166.0,375.0,423.0,301
Expenses,0.0,0.0,0.0,0,0,0.0,0.0,0.0,107.0,151.0,345.0,386.0,274
Operating Profit,1.0,0.0,0.0,0,0,0.0,0.0,0.0,8.0,15.0,30.0,37.0,27
OPM %,98.0,33.0,41.0,0,0,3.0,5.0,2.0,7.0,9.0,8.0,9.0,9
Other Income,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2
Interest,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3.0,4.0,6.0,8.0,8
Depreciation,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6.0,9.0,13.0,18.0,20
Profit before tax,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.0,3.0,13.0,13.0,2
Tax %,0.0,30.0,22.0,,,0.0,50.0,200.0,86.0,25.0,25.0,26.0,
Net Profit,1.0,0.0,0.0,-0,-0,0.0,0.0,-0.0,-0.0,2.0,10.0,9.0,1
EPS in Rs,0.74,0.1,0.08,-0.01,-0.01,0.0,0.01,-0.03,-0.03,1.36,5.31,5.22,0.30
