,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,125,-33,140,-98,-1242,-1980,248,195,952,-139,1011,-3058
Cash from Investing Activity,33,-59,4,-606,-380,-314,-157,14,-353,-273,-447,-287
Cash from Financing Activity,-43,-26,-90,747,1718,2420,-98,-141,-129,861,282,3784
Net Cash Flow,115,-119,55,44,96,125,-7,68,470,449,845,439
