,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,45,125.0,155.0,206.0,234.0,259.0,232.0,327.0,340.0,328
Expenses,42,120.0,147.0,192.0,215.0,227.0,209.0,289.0,295.0,287
Operating Profit,3,5.0,8.0,14.0,19.0,32.0,23.0,38.0,45.0,41
OPM %,7,4.0,5.0,7.0,8.0,13.0,10.0,12.0,13.0,12
Other Income,0,0.0,0.0,1.0,-2.0,1.0,7.0,3.0,-0.0,2
Interest,1,0.0,1.0,1.0,3.0,5.0,6.0,5.0,8.0,9
Depreciation,2,2.0,4.0,7.0,10.0,16.0,15.0,11.0,10.0,10
Profit before tax,0,2.0,3.0,6.0,4.0,13.0,8.0,25.0,28.0,25
Tax %,,17.0,26.0,35.0,49.0,24.0,27.0,26.0,26.0,
Net Profit,0,2.0,3.0,4.0,2.0,10.0,6.0,18.0,20.0,18
EPS in Rs,0.65,3.92,5.04,3.91,1.97,9.34,5.81,17.47,19.48,17.51
