,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,66.06,107.85,120.42,97.19,61.79,60.87,135.14,70.17
Expenses,57.25,93.99,107.3,84.84,51.61,53.42,120.5,61.6
Operating Profit,8.81,13.86,13.12,12.35,10.18,7.45,14.64,8.57
OPM %,13.34,12.85,10.9,12.71,16.48,12.24,10.83,12.21
Other Income,0.05,0.5,0.04,0.02,0.04,1.61,0.56,0.03
Interest,1.41,1.93,1.8,1.57,2.57,1.53,2.0,2.71
Depreciation,2.74,2.78,2.35,2.39,2.43,2.48,2.32,2.38
Profit before tax,4.71,9.65,9.01,8.41,5.22,5.05,10.88,3.51
Tax %,23.57,27.05,23.97,25.68,30.46,26.34,25.37,16.52
Net Profit,3.59,7.04,6.86,6.25,3.63,3.72,8.12,2.92
EPS in Rs,3.42,6.7,6.53,5.95,3.46,3.54,7.73,2.78
