,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2,5,5,10,10,10,10,10,10,10
Reserves,1,1,4,26,28,38,44,63,83,94
Borrowings,9,5,14,17,46,52,71,74,86,78
Other Liabilities,4,12,23,43,56,73,50,48,47,33
Total Liabilities,16,23,46,98,141,173,176,196,227,216
Fixed Assets,12,14,30,46,82,92,65,53,49,47
CWIP,0,0,0,3,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0
Other Assets,3,9,16,49,59,81,110,143,178,170
Total Assets,16,23,46,98,141,173,176,196,227,216
