,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.6,30.42,43.48,61.32,74.52
Expenses,18.64,19.16,39.52,66.92,70.22
Operating Profit,13.96,11.26,3.96,-5.6,4.30
OPM %,42.82,37.02,9.11,-9.13,5.77
Other Income,1.69,1.24,0.31,0.83,0.85
Interest,2.1,0.73,0.95,4.22,4.71
Depreciation,0.85,0.96,1.7,6.7,8.76
Profit before tax,12.7,10.81,1.62,-15.69,-8.32
Tax %,27.56,18.59,31.48,-2.68,
Net Profit,9.19,8.8,1.11,-16.11,-9.27
EPS in Rs,7.41,7.1,0.9,-13.03,-7.49
