,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,79.94,57.83,11.25,25.06
Inventory Days,37.8,52.74,34.34,26.48
Days Payable,97.14,120.39,41.72,30.87
Cash Conversion Cycle,20.6,-9.82,3.87,20.67
Working Capital Days,48.7,5.76,25.77,21.31
ROCE %,,33.0,4.07,-12.12
