,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,9.43,9.43,9.43,12.36,12.36
Reserves,16.1,24.83,25.92,56.02,55.1
Preference Capital,3.21,1.72,1.72,0.0,
Borrowings,1.28,3.93,49.33,34.79,32.51
Other Liabilities,7.58,10.2,15.47,15.16,15.8
Total Liabilities,34.39,48.39,100.15,118.33,115.77
Fixed Assets,9.5,9.28,14.43,90.26,87.5
CWIP,0.05,7.36,66.5,0.84,0.67
Investments,14.83,19.55,0.43,0.43,2.54
Other Assets,10.01,12.2,18.79,26.8,25.06
Total Assets,34.39,48.39,100.15,118.33,115.77
