,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,12.74,15.99,17.83,19.13,21.54,21.91,23.22,26.81,28.27,22.03,65.36,36.3,46.25
Expenses,11.03,12.08,13.25,13.63,16.44,16.84,18.14,24.08,24.18,17.99,61.99,32.91,45.52
Operating Profit,1.71,3.91,4.58,5.5,5.1,5.07,5.08,2.73,4.09,4.04,3.37,3.39,0.73
OPM %,13.42,24.45,25.69,28.75,23.68,23.14,21.88,10.18,14.47,18.34,5.16,9.34,1.58
Other Income,0.95,0.5,0.78,0.48,0.28,0.05,0.09,2.22,0.72,0.72,0.6,0.61,0.53
Interest,0.46,1.27,1.65,2.71,2.83,2.92,3.17,3.0,2.99,3.1,2.53,2.34,2.06
Depreciation,1.84,2.66,3.42,2.9,2.19,1.81,1.58,1.47,1.69,1.47,1.31,1.41,1.90
Profit before tax,0.36,0.48,0.29,0.37,0.36,0.39,0.42,0.48,0.13,0.19,0.13,0.25,-2.70
Tax %,8.33,77.08,172.41,-32.43,-163.89,251.28,50.0,22.92,15.38,463.16,76.92,68.0,
Net Profit,0.33,0.11,-0.21,0.49,0.95,-0.58,0.21,0.37,0.11,-0.69,0.02,0.09,-2.70
EPS in Rs,0.15,0.04,-0.06,0.15,0.28,-0.14,0.05,0.09,0.03,-0.16,0.0,0.02,-0.64
