,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,35.01,35.01,35.23,35.67,35.74,36.22,36.45,36.78
Public,64.99,64.99,64.77,64.33,64.26,63.78,63.54,63.22
No. of Shareholders,13880.0,13618.0,13511.0,13392.0,13295.0,13406.0,13579.0,13404.0
