,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.77,15.28,7.79,10.94,16.23,10.52,11.67,10.07,8.69,18.36,16.45,13.45
Expenses,8.74,13.36,6.45,9.34,14.59,9.45,10.81,9.19,7.13,15.92,15.17,11.61
Operating Profit,2.03,1.92,1.34,1.6,1.64,1.07,0.86,0.88,1.56,2.44,1.28,1.84
OPM %,18.85,12.57,17.2,14.63,10.1,10.17,7.37,8.74,17.95,13.29,7.78,13.68
Other Income,-0.01,-0.01,0.0,-0.01,0.0,0.0,-0.03,-0.01,0.0,0.0,0.0,0.0
Interest,0.85,0.51,0.52,0.71,0.71,0.61,0.57,0.56,0.59,0.45,0.49,0.53
Depreciation,0.2,0.18,0.14,0.14,0.14,0.14,0.19,0.19,0.19,0.19,0.14,0.17
Profit before tax,0.97,1.22,0.68,0.74,0.79,0.32,0.07,0.12,0.78,1.8,0.65,1.14
Tax %,17.53,23.77,13.24,18.92,15.19,28.12,-42.86,-16.67,16.67,17.78,4.62,24.56
Net Profit,0.79,0.93,0.58,0.6,0.67,0.23,0.1,0.14,0.65,1.48,0.62,0.86
EPS in Rs,0.46,0.54,0.33,0.35,0.39,0.13,0.06,0.08,0.38,0.85,0.36,0.5
