,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.2,4.2,4.2,8.4,11.45,12.29
Reserves,11.15,11.89,14.09,15.72,25.22,38.85
Borrowings,27.35,25.68,25.57,23.09,18.52,14.35
Other Liabilities,23.29,19.64,12.45,20.6,29.5,11.76
Total Liabilities,65.99,61.41,56.31,67.81,84.69,77.25
Fixed Assets,10.04,10.38,9.96,13.6,12.34,14.78
CWIP,0.46,1.61,3.39,0.0,2.06,0.0
Investments,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,55.48,49.41,42.95,54.2,70.28,62.46
Total Assets,65.99,61.41,56.31,67.81,84.69,77.25
