,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,58.1,24.8,34.95,49.52,63.34,79.33
Expenses,52.4,20.91,30.34,42.63,54.32,69.00
Operating Profit,5.7,3.89,4.61,6.89,9.02,10.33
OPM %,9.81,15.69,13.19,13.91,14.24,13.02
Other Income,0.53,0.73,1.3,0.42,0.95,0.81
Interest,2.06,2.09,1.88,2.12,1.27,1.22
Depreciation,1.29,1.39,1.4,1.68,1.97,2.00
Profit before tax,2.88,1.14,2.63,3.51,6.73,7.92
Tax %,28.47,34.21,29.66,30.2,21.4,
Net Profit,2.06,0.75,1.86,2.46,5.3,6.29
EPS in Rs,4.9,1.79,4.43,2.93,4.63,5.34
