,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-3.9,1.13,-2.74,-0.19,-1.31,-2.19,-0.91,-4.85,-5.74,-2.41,-0.58,0.2
Cash from Investing Activity,-0.48,-0.09,0.13,-0.13,-0.58,-0.01,-0.13,0.0,-0.24,-0.01,-0.03,-0.04
Cash from Financing Activity,4.49,-1.06,3.08,0.87,3.25,0.6000000000000001,2.76,2.7,5.66,2.44,0.64,0.34
Net Cash Flow,0.11,-0.02,0.47,0.56,1.35,-1.6,1.72,-2.15,-0.32,0.03,0.02,0.5
