,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.28,35.11,45.43,60.28,44.5,36.15,50.03,60.06,49.12,48.17,72.64,80.22,83.50
Expenses,26.55,30.37,38.12,52.47,40.79,31.48,44.27,54.22,44.86,43.11,67.44,73.81,81.18
Operating Profit,5.73,4.74,7.31,7.81,3.71,4.67,5.76,5.84,4.26,5.06,5.2,6.41,2.32
OPM %,17.75,13.5,16.09,12.96,8.34,12.92,11.51,9.72,8.67,10.5,7.16,7.99,2.78
Other Income,0.05,0.16,0.1,0.12,3.06,1.07,0.12,0.04,1.44,0.14,0.46,-3.7,0.11
Interest,3.59,2.77,4.55,4.4,4.99,4.28,4.18,3.99,4.42,4.04,4.0,4.56,4.26
Depreciation,0.78,0.78,0.78,0.74,0.62,0.64,0.65,0.64,0.61,0.56,0.53,0.46,0.46
Profit before tax,1.41,1.35,2.08,2.79,1.16,0.82,1.05,1.25,0.67,0.6,1.13,-2.31,-2.29
Tax %,-24.11,34.81,39.42,31.18,50.86,86.59,91.43,20.0,47.76,503.33,46.9,4.33,
Net Profit,1.76,0.88,1.27,1.93,0.56,0.11,0.09,1.0,0.36,-2.42,0.6,-2.21,-2.17
EPS in Rs,1.43,0.72,0.67,1.01,0.29,0.06,0.05,0.53,0.19,-1.27,0.32,-1.16,-1.14
