,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.3,0.57,0.26,0.28,0.58,0.25,0.44,0.13,0.29,0.29,0.58,0.51
Expenses,0.44,0.59,0.42,0.45,0.41,0.4,0.34,0.26,0.29,0.56,0.46,0.46
Operating Profit,-0.14,-0.02,-0.16,-0.17,0.17,-0.15,0.1,-0.13,0.0,-0.27,0.12,0.05
OPM %,-46.67,-3.51,-61.54,-60.71,29.31,-60.0,22.73,-100.0,0.0,-93.1,20.69,9.8
Other Income,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.04,0.0,-0.02,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.04,0.05,0.05,0.05,0.04,0.07,0.05,0.05,0.05,0.05,0.04,0.04
Profit before tax,-0.18,-0.06,-0.2,-0.21,0.14,-0.22,0.05,-0.14,-0.05,-0.34,0.08,0.01
Tax %,0.0,33.33,5.0,4.76,-7.14,9.09,-20.0,7.14,20.0,2.94,-12.5,-100.0
Net Profit,-0.19,-0.03,-0.19,-0.19,0.14,-0.21,0.06,-0.12,-0.04,-0.33,0.09,0.02
EPS in Rs,-0.26,-0.04,-0.26,-0.26,0.19,-0.29,0.08,-0.17,-0.06,-0.46,0.12,0.03
