,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Promoters,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.87,60.87
Public,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13,39.13
No. of Shareholders,96.0,96.0,174.0,164.0,146.0,138.0,118.0,113.0,118.0
