,Mar 2012,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.0,0.03,0.02,0.10,0.14,0.09,0.41,0.39,0.19,0.74,1.26,0.80
Expenses,0.0,0.03,0.02,0.11,0.08,0.04,0.13,0.53,0.52,0.92,1.59,1.11
Operating Profit,0.0,0.00,0.00,-0.01,0.06,0.05,0.28,-0.14,-0.33,-0.18,-0.33,-0.31
OPM %,,0.00,0.00,-10.00,42.86,55.56,68.29,-35.9,-173.68,-24.32,-26.19,-38.75
Other Income,0.0,0.00,0.00,0.01,0.02,0.03,0.11,0.27,0.44,0.01,0.49,0.49
Interest,0.0,0.00,0.00,0.00,0.01,0.01,0.0,0.01,0.0,0.0,0.03,0.05
Depreciation,0.0,0.00,0.00,0.00,0.07,0.07,0.1,0.1,0.1,0.09,0.09,0.08
Profit before tax,0.0,0.00,0.00,0.00,0.00,0.00,0.29,0.02,0.01,-0.26,0.04,0.05
Tax %,,,,,,,24.14,150.0,0.0,11.54,0.0,
Net Profit,0.0,0.00,0.00,0.00,0.00,0.00,0.22,-0.01,0.01,-0.23,0.04,0.04
EPS in Rs,0.0,0.00,0.00,0.00,0.00,0.00,0.74,-0.02,0.02,-0.48,0.08,0.08
