,2012-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.04,0.05,0.05,0.05,0.05,0.05,2.96,4.83,4.83,4.83,4.83,4.83
Reserves,0.71,0.88,0.88,0.88,0.88,0.88,1.11,3.73,3.74,3.01,3.05,3.05
Borrowings,0.0,0.59,0.75,0.76,0.87,0.8200000000000001,0.01,0.0,0.24,0.24,0.86,1.09
Other Liabilities,0.03,0.0,0.11,0.15,0.1,0.09,0.24,0.23,0.17,0.06,0.16,0.42
Total Liabilities,0.78,1.52,1.79,1.84,1.9,1.84,4.32,8.79,8.98,8.14,8.9,9.39
Fixed Assets,0.76,1.41,1.59,1.64,1.66,1.59,3.55,3.45,3.36,1.94,2.21,2.19
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,0.02,0.1,0.19,0.19,0.23,0.24,0.76,5.33,5.61,6.19,6.68,7.19
Total Assets,0.78,1.52,1.79,1.84,1.9,1.84,4.32,8.79,8.98,8.14,8.9,9.39
