,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,0.24,0.26,0.13,0.07,0.12,0.28,0.46,0.82,0.44,0.36
Expenses,-0.04,0.2,0.33,0.16,0.36,0.35,0.57,1.01,0.58,0.53
Operating Profit,0.28,0.06,-0.2,-0.09,-0.24,-0.07,-0.11,-0.19,-0.14,-0.17
OPM %,116.67,23.08,-153.85,-128.57,-200.0,-25.0,-23.91,-23.17,-31.82,-47.22
Other Income,0.11,0.01,0.26,0.0,0.44,-0.21,0.22,0.24,0.25,0.24
Interest,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02
Depreciation,0.1,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04
Profit before tax,0.29,0.01,0.01,-0.14,0.15,-0.33,0.07,0.01,0.04,0.01
Tax %,24.14,0.0,300.0,0.0,0.0,0.0,-42.86,0.0,0.0,0.0
Net Profit,0.22,0.01,-0.02,-0.13,0.15,-0.33,0.1,0.01,0.03,0.01
EPS in Rs,0.74,0.02,-0.04,-0.27,0.31,-0.68,0.21,0.02,0.06,0.02
