,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1
Expenses,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
Operating Profit,3.0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,0
OPM %,93.0,90.0,-69.0,61.0,89.0,67.0,65.0,66.0,51
Other Income,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Interest,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Profit before tax,0.0,0.0,-1.0,-0.0,1.0,0.0,0.0,0.0,0
Tax %,41.0,32.0,1.0,-50.0,2.0,0.0,22.0,33.0,
Net Profit,8.0,30.0,44.0,35.0,49.0,85.0,209.0,172.0,103
EPS in Rs,8.18,29.42,43.27,34.59,48.18,83.28,204.78,168.74,100.83
