,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,7.91,11.84,11.05,14.09,16.48,16.18,15.44
Expenses,7.26,10.97,10.37,13.15,15.09,14.91,14.13
Operating Profit,0.65,0.87,0.68,0.94,1.39,1.27,1.31
OPM %,8.22,7.35,6.15,6.67,8.43,7.85,8.48
Other Income,0.02,0.08,0.06,0.04,0.01,0.0,0.01
Interest,0.27,0.32,0.24,0.26,0.24,0.3,0.17
Depreciation,0.29,0.43,0.34,0.35,0.31,0.31,0.26
Profit before tax,0.11,0.2,0.16,0.37,0.85,0.66,0.89
Tax %,27.27,30.0,25.0,27.03,27.06,34.85,26.97
Net Profit,0.08,0.14,0.11,0.27,0.63,0.44,0.65
EPS in Rs,0.25,0.43,0.21,0.51,1.2,0.84,1.24
