,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1.98,1.87,1.87,3.23,5.25,5.25,5.25
Reserves,0.0,0.16,0.32,0.54,2.4,3.47,4.11
Borrowings,5.96,6.52,6.29,6.46,6.7,5.16,6.79
Other Liabilities,3.67,4.67,3.91,5.1,4.64,5.32,6.02
Total Liabilities,11.61,13.22,12.39,15.33,18.99,19.2,22.17
Fixed Assets,4.35,4.38,3.97,5.4,4.96,6.78,6.52
CWIP,0.0,0.0,0.22,0.0,0.0,1.27,1.27
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,7.26,8.84,8.2,9.93,14.03,11.15,14.38
Total Assets,11.61,13.22,12.39,15.33,18.99,19.2,22.17
