,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,18.49,21.32,22.09,19.76,25.15,32.65,31.62
Expenses,17.03,19.61,20.48,18.24,23.52,29.91,29.04
Operating Profit,1.46,1.71,1.61,1.52,1.63,2.74,2.58
OPM %,7.9,8.02,7.29,7.69,6.48,8.39,8.16
Other Income,0.0,0.0,0.01,0.1,0.09,0.01,0.01
Interest,0.69,0.74,0.66,0.59,0.5,0.62,0.47
Depreciation,0.54,0.74,0.7,0.73,0.7,0.61,0.57
Profit before tax,0.23,0.23,0.26,0.3,0.52,1.52,1.55
Tax %,52.17,34.78,34.62,30.0,28.85,29.61,
Net Profit,0.11,0.16,0.17,0.22,0.38,1.06,1.09
EPS in Rs,0.59,0.86,0.91,0.68,0.72,2.02,2.08
