,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.75,3.31,0.72,0.77,3.32,0.00,0.27,0.0
Expenses,1.29,3.53,0.91,4.35,8.12,0.57,0.48,0.43
Operating Profit,0.46,-0.22,-0.19,-3.58,-4.8,-0.57,-0.21,-0.43
OPM %,26.29,-6.65,-26.39,-464.94,-144.58,,-77.78,
Other Income,1.04,1.1,0.78,0.0,0.02,0.00,0.09,0.0
Interest,0.21,0.01,0.1,0.19,0.19,0.11,0.12,0.19
Depreciation,0.16,0.08,0.03,0.03,0.02,0.02,0.02,0.0
Profit before tax,1.13,0.79,0.46,-3.8,-4.99,-0.70,-0.26,-0.62
Tax %,30.09,0.0,-2.17,0.0,0.0,0.00,0.0,
Net Profit,0.79,0.79,0.47,-3.81,-4.99,-0.70,-0.26,-0.62
EPS in Rs,0.2,0.2,0.12,-0.97,-1.27,-0.18,-0.07,-0.16
