,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.55,19.92,13.32,13.87
Expenses,4.47,19.23,12.82,13.55
Operating Profit,0.08,0.69,0.5,0.32
OPM %,1.76,3.46,3.75,2.31
Other Income,0.09,0.06,0.11,0.12
Interest,0.02,0.32,0.37,0.38
Depreciation,0.05,0.09,0.07,0.06
Profit before tax,0.1,0.34,0.17,0.00
Tax %,40.0,32.35,94.12,
Net Profit,0.07,0.23,0.0,-0.06
EPS in Rs,0.37,0.52,0.0,-0.13
