,2020-12-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1.16,2.85,3.1,5.13,2.95,3.27,3.11,4.0,3.49,3.27
Expenses,1.17,2.72,2.93,4.93,2.77,3.14,3.17,3.78,3.41,3.19
Operating Profit,-0.01,0.13,0.17,0.2,0.18,0.13,-0.06,0.22,0.08,0.08
OPM %,-0.86,4.56,5.48,3.9,6.1,3.98,-1.93,5.5,2.29,2.45
Other Income,0.06,0.04,0.07,0.16,0.0,0.0,0.03,0.08,0.0,0.01
Interest,0.0,0.03,0.01,0.17,0.07,0.08,0.07,0.16,0.08,0.07
Depreciation,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01
Profit before tax,0.03,0.12,0.21,0.17,0.09,0.03,-0.12,0.12,-0.01,0.01
Tax %,0.0,8.33,4.76,0.0,33.33,100.0,0.0,33.33,0.0,0.0
Net Profit,0.03,0.11,0.2,0.17,0.06,0.0,-0.12,0.07,-0.01,0.0
EPS in Rs,0.16,0.58,0.45,0.39,0.14,0.0,-0.27,0.16,-0.02,0.0
