,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,4.15,122.89,39.86,235.27
Inventory Days,872.21,519.79,263.39,418.14
Days Payable,142.21,74.53,285.79,669.34
Cash Conversion Cycle,734.15,568.15,17.47,-15.93
Working Capital Days,20.74,8.25,10.77,68.81
ROCE %,,112.5,187.12,85.88
