,Mar 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,153.0,184.0,226.0,237.0,216.0,252.0,268.0,296.0,311
Expenses,110.0,125.0,152.0,168.0,152.0,174.0,185.0,209.0,223
Operating Profit,42.0,59.0,74.0,69.0,64.0,78.0,83.0,88.0,88
OPM %,28.0,32.0,33.0,29.0,30.0,31.0,31.0,30.0,28
Other Income,2.0,7.0,3.0,-4.0,5.0,3.0,3.0,8.0,10
Interest,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3
Depreciation,5.0,5.0,5.0,10.0,13.0,15.0,15.0,16.0,17
Profit before tax,37.0,60.0,71.0,53.0,54.0,64.0,69.0,79.0,78
Tax %,36.0,36.0,33.0,29.0,24.0,26.0,25.0,25.0,
Net Profit,24.0,39.0,47.0,38.0,41.0,48.0,52.0,59.0,59
EPS in Rs,78.93,12.99,15.74,12.35,13.57,15.69,17.04,19.31,19.21
