,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,83.0,74.0,57.0,71.0,66.0,73.0,74.0,82.0,71.0,69.0,83.0,87.0
Expenses,54.0,56.0,41.0,50.0,44.0,52.0,51.0,57.0,50.0,52.0,59.0,62.0
Operating Profit,29.0,18.0,16.0,22.0,22.0,22.0,23.0,25.0,22.0,18.0,24.0,25.0
OPM %,35.0,25.0,29.0,31.0,33.0,30.0,31.0,31.0,30.0,26.0,28.0,29.0
Other Income,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Depreciation,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Profit before tax,26.0,15.0,13.0,18.0,19.0,19.0,20.0,23.0,20.0,16.0,22.0,21.0
Tax %,26.0,26.0,24.0,26.0,26.0,25.0,25.0,26.0,27.0,23.0,25.0,21.0
Net Profit,19.0,11.0,10.0,14.0,14.0,14.0,15.0,17.0,14.0,12.0,16.0,16.0
EPS in Rs,6.38,3.66,3.31,4.48,4.55,4.7,4.99,5.63,4.7,3.99,5.25,5.27
