,2015-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,30,30,30,30,30,30,30,31
Reserves,61,98,148,208,249,285,327,388,451
Borrowings,8,0,16,23,6,9,8,19,60
Other Liabilities,20,33,40,42,46,59,46,51,57
Total Liabilities,93,162,233,304,332,384,411,488,598
Fixed Assets,29,35,36,158,160,155,153,147,146
CWIP,3,8,53,0,0,4,0,1,1
Investments,0,42,56,55,70,81,142,203,311
Other Assets,61,76,89,91,102,143,116,138,139
Total Assets,93,162,233,304,332,384,411,488,598
