,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,74.75,74.75,74.75,74.8,74.8,74.8,74.8,74.86,74.86,74.86,74.86,74.86
FIIs,9.15,9.04,8.69,8.92,9.03,9.03,9.41,9.43,9.47,9.51,9.48,9.4
DIIs,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.03,0.04
Public,16.1,16.21,16.56,16.28,16.16,16.16,15.76,15.69,15.64,15.52,15.53,15.6
Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,0.1
No. of Shareholders,72616.0,73760.0,95628.0,138434.0,200213.0,224069.0,245425.0,236663.0,238917.0,241596.0,241736.0,255327.0
