,Mar 2012,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0,0,0,0,0,0,0.0,14.0,4124.0,4920
Expenses,42,6,278,663,1309,153,2.0,36.0,4083.0,5046
Operating Profit,-42,-6,-278,-663,-1309,-153,-2.0,-22.0,40.0,-125
OPM %,,,,,,,-1670.0,-156.0,1.0,-3
Other Income,168,-155,0,0,0,2,2.0,579.0,-255.0,386
Interest,4,0,0,0,0,1,0.0,2.0,49.0,90
Depreciation,1,0,0,0,0,0,0.0,1.0,10.0,14
Profit before tax,120,-161,-278,-663,-1308,-153,0.0,554.0,-273.0,157
Tax %,30,0,0,0,0,0,0.0,0.0,-5.0,
Net Profit,84,-161,-278,-663,-1308,-153,0.0,554.0,-286.0,146
EPS in Rs,0.33,-1.17,-2.01,-4.80,-9.46,-1.11,0.0,4.01,-2.06,1.06
