,2012-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,255,276,276,276,276,276,276,276,276,276
Reserves,2238,2221,1944,1272,-39,-192,-192,422,133,454
Borrowings,1963,0,0,0,0,0,0,159,973,1271
Other Liabilities,6615,2,1,1,0,0,1,51,804,1031
Total Liabilities,11070,2499,2221,1549,238,85,85,908,2186,3032
Fixed Assets,205,0,0,0,0,0,0,40,269,266
CWIP,7035,0,0,0,0,0,0,0,6,0
Investments,244,2405,2133,1463,153,0,84,812,315,736
Other Assets,3587,94,88,86,85,85,1,56,1596,2030
Total Assets,11070,2499,2221,1549,238,85,85,908,2186,3032
