,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9.33,20.48,34.07,20.05,26.05,32.73,31.94,39.7,52.52,43.38,33.03,17.0,16.96
Expenses,6.82,18.5,31.76,19.14,28.72,31.36,29.58,36.95,47.52,38.01,27.9,13.23,13.48
Operating Profit,2.51,1.98,2.31,0.91,-2.67,1.37,2.36,2.75,5.0,5.37,5.13,3.77,3.48
OPM %,26.9,9.67,6.78,4.54,-10.25,4.19,7.39,6.93,9.52,12.38,15.53,22.18,20.52
Other Income,0.01,0.12,0.34,0.3,-0.51,0.27,0.61,1.57,0.47,0.41,0.42,0.41,0.46
Interest,0.09,0.28,1.01,1.53,0.6,0.59,1.0,1.28,2.09,2.08,1.85,1.93,1.69
Depreciation,0.39,0.41,0.44,0.5,0.93,0.56,0.73,0.78,0.88,0.95,1.08,1.22,1.24
Profit before tax,2.04,1.41,1.2,-0.82,-4.71,0.49,1.24,2.26,2.5,2.75,2.62,1.03,1.01
Tax %,-2.45,12.06,41.67,-0.0,-2.55,40.82,5.65,25.22,30.4,26.18,24.81,42.72,
Net Profit,2.09,1.24,0.7,-0.82,-4.84,0.29,1.18,1.67,1.74,2.03,1.97,0.58,0.62
EPS in Rs,0.3,0.18,0.1,-0.12,-0.7,0.04,0.17,0.24,0.25,0.29,0.28,0.08,0.09
