,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,95.63,71.53,94.86,74.18,70.89,72.04,61.03,53.19,51.47,53.02,51.36,51.48,50.02
Expenses,84.82,66.4,82.2,76.93,76.44,74.36,65.02,55.68,47.45,47.75,44.42,45.27,39.49
Operating Profit,10.81,5.13,12.66,-2.75,-5.55,-2.32,-3.99,-2.49,4.02,5.27,6.94,6.21,10.53
OPM %,11.3,7.17,13.35,-3.71,-7.83,-3.22,-6.54,-4.68,7.81,9.94,13.51,12.06,21.05
Other Income,1.07,2.27,0.93,0.71,0.82,1.55,0.38,18.5,3.42,1.32,-1.08,-1.72,-0.23
Interest,8.84,8.96,10.22,10.63,11.24,11.21,10.82,8.06,6.21,6.6,5.31,3.84,3.70
Depreciation,2.32,2.14,2.78,1.76,1.62,1.56,1.44,1.29,1.02,0.38,0.38,0.45,0.45
Profit before tax,0.72,-3.7,0.59,-14.43,-17.59,-13.54,-15.87,6.66,0.21,-0.39,0.17,0.2,6.15
Tax %,0.0,0.54,0.0,0.0,0.0,0.0,0.0,18.77,0.0,0.0,0.0,0.0,
Net Profit,0.72,-3.67,0.59,-14.43,-17.59,-13.54,-15.87,5.41,0.21,-0.39,0.17,0.2,6.15
EPS in Rs,0.72,-3.67,0.59,-14.43,-17.59,-13.54,-15.87,5.41,0.21,-0.39,0.17,0.2,6.14
