,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,58,59,60,60,68,71,71,72,72,72,72,72
Reserves,28,65,205,242,280,348,427,473,496,475,490,448
Borrowings,0,0,4,28,34,26,38,201,269,402,834,717
Other Liabilities,175,211,250,262,435,540,669,676,849,1027,1157,1181
Total Liabilities,261,335,519,591,817,986,1205,1422,1687,1975,2553,2418
Fixed Assets,10,16,26,50,62,66,71,231,361,501,830,800
CWIP,0,0,0,3,1,1,3,15,3,14,4,4
Investments,0,0,110,68,58,50,81,3,55,118,100,34
Other Assets,251,319,383,471,697,870,1050,1173,1268,1343,1620,1580
Total Assets,261,335,519,591,817,986,1205,1422,1687,1975,2553,2418
