,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,27,-48,-34,12,95,85,294,191,119
Cash from Investing Activity,,,-165,1,-3,0,-95,36,-108,-140,-310
Cash from Financing Activity,,,103,18,4,4,-11,-76,-87,-117,183
Net Cash Flow,,,-35,-28,-33,16,-11,45,98,-66,-8
