,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,61.05,58.52,58.45,58.34,58.18,58.09,58.04
FIIs,10.11,9.6,17.83,20.93,20.39,11.55,12.08
DIIs,8.92,12.63,11.09,11.93,12.13,18.63,14.6
Public,19.91,19.24,12.63,8.8,9.3,11.74,15.27
No. of Shareholders,66977.0,53768.0,52910.0,48750.0,59138.0,66347.0,73682.0
