,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Promoters,34.78,34.78,34.78,35.02
FIIs,41.29,39.28,35.01,32.37
DIIs,5.26,4.98,5.48,8.01
Public,18.27,20.57,24.32,24.21
Others,0.39,0.39,0.39,0.38
No. of Shareholders,229960.0,241359.0,277270.0,300606.0
