,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6315,6559,7082.0,7540
Expenses,4887,5609,6453.0,6703
Operating Profit,1428,950,629.0,837
OPM %,23,14,9.0,11
Other Income,230,319,272.0,251
Interest,163,198,344.0,427
Depreciation,545,586,677.0,707
Profit before tax,949,485,-120.0,-46
Tax %,12,22,-55.0,
Net Profit,835,376,-186.0,-134
EPS in Rs,,,-1.41,-1.01
