,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,1577.53,1539.12,2131.36,1481.99,1720.01,1715.97,2163.58,1748.85,1911.38
Expenses,1380.96,1313.53,1733.30,1464.91,1547.45,1628.64,1812.31,1616.53,1645.74
Operating Profit,196.57,225.59,398.06,17.08,172.56,87.33,351.27,132.32,265.64
OPM %,12.46,14.66,18.68,1.15,10.03,5.09,16.24,7.57,13.9
Other Income,34.24,169.74,97.20,91.74,50.35,98.11,32.28,52.7,68.3
Interest,49.16,50.13,57.16,62.30,82.98,94.65,104.25,118.52,109.87
Depreciation,138.07,147.15,165.16,161.66,166.19,164.43,184.41,173.61,184.51
Profit before tax,43.58,198.05,272.94,-115.14,-26.26,-73.64,94.89,-107.11,39.56
Tax %,16.11,17.51,25.24,5.29,-42.19,-22.46,47.19,7.96,87.31
Net Profit,36.56,163.37,204.06,-109.05,-37.34,-90.18,50.11,-98.58,5.02
EPS in Rs,,,,,-0.28,-0.68,0.38,-0.75,0.04
