,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,995,1186,1193,1323
Reserves,4610,5511,5580,6435
Borrowings,3025,4128,5637,4534
Other Liabilities,2047,1781,1893,2483
Total Liabilities,10677,12605,14303,14776
Fixed Assets,6105,6879,7469,8049
CWIP,627,1172,1419,989
Investments,123,267,639,278
Other Assets,3822,4286,4777,5459
Total Assets,10677,12605,14303,14776
