,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,72.02,74.1,74.09,74.09,71.54,71.54,71.54
FIIs,0.0,0.0,0.0,0.0,0.09,0.12,0.13
Public,27.98,25.9,25.91,25.91,28.37,28.34,28.34
No. of Shareholders,522.0,170.0,124.0,919.0,29520.0,40477.0,37484.0
