,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,169.0,180.0,195.0,250.0,340.0,297.0,359.0,614.0,670.0,587
Expenses,154.0,160.0,174.0,223.0,303.0,257.0,310.0,520.0,560.0,495
Operating Profit,15.0,20.0,22.0,27.0,37.0,40.0,49.0,93.0,111.0,91
OPM %,9.0,11.0,11.0,11.0,11.0,13.0,14.0,15.0,17.0,16
Other Income,2.0,0.0,3.0,4.0,3.0,3.0,10.0,10.0,11.0,9
Interest,13.0,13.0,14.0,15.0,16.0,16.0,16.0,14.0,16.0,14
Depreciation,5.0,5.0,5.0,6.0,7.0,10.0,12.0,19.0,20.0,18
Profit before tax,0.0,2.0,5.0,10.0,17.0,17.0,31.0,71.0,86.0,68
Tax %,50.0,33.0,33.0,22.0,29.0,29.0,30.0,26.0,26.0,
Net Profit,0.0,2.0,4.0,8.0,12.0,12.0,21.0,53.0,64.0,49
EPS in Rs,0.01,0.15,0.37,7.31,10.91,11.05,19.71,46.26,56.41,42.77
