,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7,10,10,11,11,11,11,11,11,11
Reserves,2,4,7,23,35,47,68,162,226,252
Borrowings,121,126,132,153,151,169,162,179,324,484
Other Liabilities,28,29,29,45,54,51,65,131,87,148
Total Liabilities,157,168,178,232,250,278,305,483,648,895
Fixed Assets,57,55,58,69,73,106,120,161,177,183
CWIP,0,0,0,0,23,12,0,1,124,305
Investments,0,0,0,0,0,0,0,0,0,5
Other Assets,100,113,120,162,154,160,185,322,347,402
Total Assets,157,168,178,232,250,278,305,483,648,895
