,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,52.95,52.95,52.95,52.96,52.96
Public,47.05,47.05,47.05,47.03,47.04
No. of Shareholders,71.0,76.0,398.0,18038.0,16837.0
