,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,10.43,8.74,12.97,19.07,12.62,12.73,15.57,14.18,13.59,9.07,7.99
Expenses,9.98,8.51,12.3,18.81,12.41,12.22,15.03,13.91,13.09,8.72,7.76
Operating Profit,0.45,0.23,0.67,0.26,0.21,0.51,0.54,0.27,0.5,0.35,0.23
OPM %,4.31,2.63,5.17,1.36,1.66,4.01,3.47,1.9,3.68,3.86,2.88
Other Income,-0.04,0.13,0.03,0.0,0.04,0.01,0.03,0.03,0.05,0.01,0.06
Interest,0.24,0.02,0.02,0.07,0.05,0.01,0.04,0.01,0.1,0.02,0.11
Depreciation,0.08,0.07,0.07,0.08,0.08,0.08,0.09,0.11,0.31,0.15,0.16
Profit before tax,0.09,0.27,0.61,0.11,0.12,0.43,0.44,0.18,0.14,0.19,0.02
Tax %,33.33,29.63,22.95,36.36,25.0,32.56,20.45,22.22,35.71,26.32,50.0
Net Profit,0.07,0.2,0.46,0.07,0.09,0.29,0.34,0.15,0.09,0.14,0.02
EPS in Rs,0.03,0.09,0.21,0.03,0.04,0.13,0.15,0.07,0.04,0.06,0.01
