,2018-09-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3.71,5.28,7.33,7.33,14.67,22.0,22.0
Reserves,2.0,6.03,13.65,14.32,7.8,1.33,1.49
Borrowings,1.1,0.02,0.42,0.27,0.24,0.92,2.36
Other Liabilities,7.15,4.88,5.59,9.12,15.03,13.12,12.17
Total Liabilities,13.96,16.21,26.99,31.04,37.74,37.37,38.02
Fixed Assets,0.34,0.67,0.92,1.14,2.41,3.49,3.32
CWIP,0.0,0.0,0.0,0.0,0.0,0.78,2.15
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,13.62,15.54,26.07,29.9,35.33,33.1,32.55
Total Assets,13.96,16.21,26.99,31.04,37.74,37.37,38.02
