,2018-09-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,207.24,109.4,225.89,222.07,163.5,141.98
Inventory Days,38.82,17.39,14.75,37.17,40.56,48.16
Days Payable,239.02,75.68,87.35,135.54,117.83,100.73
Cash Conversion Cycle,7.04,51.11,153.29,123.71,86.23,89.41
Working Capital Days,170.13,119.19,267.36,235.68,117.02,113.59
ROCE %,,,6.36,6.33,5.65,6.35
